4AS Newark,4AS,MID
A.D.J. CC,ADJ,SW
Aberfan CC,ABF,WA
Addlestone CC,ADS,LS
Addlington CC,ADL,NW
Angus CC,ANG,SCOE
Anker Valley CC,ANK,MID
Argyll CC,ARG,SCOW
Army Canoe Union,ACU,CS
Artists Rifles CC,ART,CS
Astley CC,AST,MID
Axe Vale CC,AXE,SW
Baldock & District CC,BAL,EA
Banbury & District,BAN,SO
Barking & Dagenham CC,BAD,EA
Basingstoke CC,BAS,SO
Bath CC,BTH,SW
Bedford School,BED,EA
Bishops Stortford CC,BSF,EA
Blackwater Valley CC,BKW,SO
Borders Canoe & Kayak Club,BKC,SCOE
Bourne End Jun Sports Club,BEJ,SO
Bradford and Bingley,BAB,YH
Bradford on Avon CC,BOA,SW
Breakout CC,BRK,MID
Brecon CC,BRE,WA
Bridge 8 CC,BR8,SCOE
Bristol CC,BRI,SW
Broadland Paddle Sport,BPS,EA
Bryanston School CC,BRY,SW
Bude CC,BUD,SW
Burton CC,BUR,MID
Burton Phoenix Racers,BPR,MID
Cambridge CC,CAM,EA
Cardiff Bay Kayakers,CDF,WA
Cellbridge,CEL,INT
Chelmsford CC,CLM,EA
Chester CC,CHE,NW
Chichester CC,CHI,SW
Chippenham CC,CHP,SW
Cokethorpe School CC,CKP,SO
Conway CC,DCP,WA
Cumbernauld & Kilsyth CC,CNK,SCOW
Dauntseys School CC,DAU,SW
Devizes CC,DEV,SW
Duddon CC,DUD,NW
Dyffryn Conwy,DCP,WA
Ealing CC,EAL,LS
Elmbridge CC,ELM,LS
Exeter CC,EXE,SW
Falcon CC,FOX,SO
Fladbury Paddle Club,FLA,MID
Forth CC,FOR,SCOE
Fowey River CC,FOY,SW
Gailey CC,GAI,MID
Glanford & Scunthorpe CC,GLS,YH
Glasgow Kayak Club,GLW,SCOW
Glasgow University,GLU,SCOW
Gloucester Canoe Club,GLO,SW
Greyfriars CC,GRF,SCOW
Griffon CC,GRI,SW
Hamble Sea Scouts,HAM,SO
Hampton CC,HMP,LS
Harlow Outdoor Pursuits,HOP,EA
Hastings CC,HAS,LS
Hemel Hempstead CC,HEM,EA
Henley CC,HEN,SO
Hereford CC,HER,MID
Herts Young Mariners,HYM,EA
Holme Pierrepont Racing CC,HPP,MID
Hull & District CC,HUL,YH
Huntingdon CC,HUN,EA
Hythe Scouts,HSC,SO
Independent,IND,IND
Integrate Paddling,ITG,SCOE
International,INT,INT
Inverness CC,INV,SCOE
Ipswich,IPS,EA
Irvine CC,IRV,SCOW
Kelly College,KEL,SW
Kendal CC,KEN,NO
Kesteven CC,KES,MID
Kimbolton School CC,KIM,EA
Kingston KC (Hull),KIN,YH
Kirkcaldy CC,KIR,SCOE
Lakeland CC,LAK,NW
Launceston College,LAU,SW
Leaside CC,LEA,EA
Leighton Buzzard CC,LBZ,EA
Lincoln CC,LIN,MID
Linlithgow,LKR,SCOW
Longridge CC,LON,SO
Lord Wandsworth College,LWC,SO
Macclesfield & District CC,MAD,NW
Maidstone CC,MAI,LS
Malton & Norton,MAL,YH
Manvers Waterfront Boat Club,MVR,YH
Marlow CC,MLO,SO
Mercia CC,MER,MID
Meridian CC,MDN,LS
Millfield School,MIL,SW
Nairn CC,NAI,SCOE
Newbury CC,NBY,SO
North East Sea Kayakers,NSK,SCOE
Northampton CC,NTH,MID
Norwich CC,NOR,EA
Nottingham CC,NOT,MID
Paddleplus Leicester,PPL,MID
Paddlesport Racers Association,PRA,SO
Pangbourne CC,PAN,SO
Pennine CC,PEN,YH
Penzance CC,PNZ,SW
Plymouth College CC,PLY,SW
Poole Harbour CC,POO,SW
Putney Bridge CC,PUT,LS
RAF Canoe Association,RAF,CS
Reading CC,RDG,SO
Richmond CC,RIC,LS
Roxburgh CC,ROX,SCOE
Royal CC,ROY,LS
Royal Hospital School CC,RHS,EA
Royal Leamington Spa CC,RLS,MID
Royal Marines Kayak Club,RMK,CS
Royal Navy Kayak Association,RNK,CS
Rugby CC,RUG,MID
Runcorn CC,RUN,NW
Rutland CC,RUT,MID
Salmon Leap,SLP,INT
Seren Dwr,SER,WA
Sheffield CC,SHE,YH
Shropshire Paddlesport,SHP,MID
Soar CC,SOR,MID
Solent KC,SLN,SO
Solihull,SOL,MID
South Avon CC,SAV,SW
Southampton CC,SOU,SO
St Austell CC,STA,SW
Stirling CC,STR,SCOW
Stornoway CC,SWY,SCOW
Strathclyde Kayak Racing Club,SKR,SCOW
Strathclyde University CC,SCU,SCOW
Sutton Bingham and District CC,SUT,SW
Swansea Kayak Club,SWA,WA
Tamar Valley Nomads,TAM,SW
Taunton CC,TAU,SW
Team Spittal,TSP,SCOE
The Duchy School,DUC,SW
The Sharks,SHA,LS
Tonbridge CC,TON,LS
Trent College CC,TNT,MID
Trentham,TRE,NW
Truro CC,TRU,SW
United Kingdom Armed Services,UKF,CS
University Of Oxford,UOX,SO
Viking KC,VIK,EA
Warrington CC,WAR,NW
Waveney Valley CC,WAV,EA
Wellington College,WEL,SO
West Coast Paddlers,WCP,SCOW
Wey KC,WEY,LS
Whetstone Paddlers,WST,MID
White Rose Canoe Club,WRC,YH
Wiltshire Youth CC,WYC,SW
Winchester CC,WCR,SO
Windsor CC,WIN,SO
Wokingham CC,WOK,SO
Wolverhampton CC,WOL,MID
Worcester CC,WOR,MID
Wraysbury Scouts,WSB,SO
You Can Community Club,YOU,NW
